,Operating_Airline,Origin,OriginCityName,Dest,DestCityName,DistanceGroup
9700,OH,PIT,"Pittsburgh, PA",CLT,"Charlotte, NC",2
9788,YX,ORD,"Chicago, IL",STL,"St. Louis, MO",2
9797,YX,CLE,"Cleveland, OH",ORD,"Chicago, IL",2
9802,MQ,ELP,"El Paso, TX",DFW,"Dallas/Fort Worth, TX",3
9839,G4,RNO,"Reno, NV",LAS,"Las Vegas, NV",2
9880,YX,ORD,"Chicago, IL",BWI,"Baltimore, MD",3
9896,YX,ATL,"Atlanta, GA",CLT,"Charlotte, NC",1
9897,YX,CLT,"Charlotte, NC",RIC,"Richmond, VA",2
9903,ZW,MSN,"Madison, WI",ORD,"Chicago, IL",1
9922,9E,JFK,"New York, NY",PIT,"Pittsburgh, PA",2
9936,G7,EWR,"Newark, NJ",RDU,"Raleigh/Durham, NC",2
9940,YV,ATL,"Atlanta, GA",IAD,"Washington, DC",3
9942,WN,SJC,"San Jose, CA",SEA,"Seattle, WA",3
9985,YV,PHX,"Phoenix, AZ",SJC,"San Jose, CA",3
10005,OH,LIT,"Little Rock, AR",DFW,"Dallas/Fort Worth, TX",2
10016,F9,ATL,"Atlanta, GA",PHL,"Philadelphia, PA",3
10025,9E,MSP,"Minneapolis, MN",MDW,"Chicago, IL",2
10091,NK,LGA,"New York, NY",DTW,"Detroit, MI",3
10093,NK,IAH,"Houston, TX",MSY,"New Orleans, LA",2
10127,WN,CMH,"Columbus, OH",ATL,"Atlanta, GA",2
10159,AS,SEA,"Seattle, WA",ATL,"Atlanta, GA",9
10189,YV,ORD,"Chicago, IL",ATL,"Atlanta, GA",3
10202,OO,ORD,"Chicago, IL",MSN,"Madison, WI",1
10245,NK,MSY,"New Orleans, LA",ATL,"Atlanta, GA",2
10296,AA,ORD,"Chicago, IL",EWR,"Newark, NJ",3
10306,YX,IAH,"Houston, TX",LGA,"New York, NY",6
10357,UA,LAX,"Los Angeles, CA",OGG,"Kahului, HI",10
10364,AA,BOS,"Boston, MA",FLL,"Fort Lauderdale, FL",5
10376,WN,SEA,"Seattle, WA",LAS,"Las Vegas, NV",4
10377,F9,DFW,"Dallas/Fort Worth, TX",PHX,"Phoenix, AZ",4
10397,WN,SLC,"Salt Lake City, UT",SNA,"Santa Ana, CA",3
10417,WN,DEN,"Denver, CO",DSM,"Des Moines, IA",3
10467,AA,ONT,"Ontario, CA",PHX,"Phoenix, AZ",2
10492,MQ,RIC,"Richmond, VA",ORD,"Chicago, IL",3
10495,AS,SEA,"Seattle, WA",MSP,"Minneapolis, MN",6
10522,UA,ICT,"Wichita, KS",DEN,"Denver, CO",2
10534,UA,BWI,"Baltimore, MD",ORD,"Chicago, IL",3
10537,MQ,DTW,"Detroit, MI",DCA,"Washington, DC",2
10592,WN,LAX,"Los Angeles, CA",OGG,"Kahului, HI",10
10659,AA,ORD,"Chicago, IL",IAH,"Houston, TX",4
10726,NK,EWR,"Newark, NJ",TPA,"Tampa, FL",4
10740,F9,LAS,"Las Vegas, NV",CLT,"Charlotte, NC",8
10745,G7,OMA,"Omaha, NE",ORD,"Chicago, IL",2
10756,WN,DCA,"Washington, DC",TPA,"Tampa, FL",4
10775,NK,BUR,"Burbank, CA",LAS,"Las Vegas, NV",1
10793,OO,ORD,"Chicago, IL",CLT,"Charlotte, NC",3
10799,MQ,MSN,"Madison, WI",ORD,"Chicago, IL",1
10811,B6,BOS,"Boston, MA",DFW,"Dallas/Fort Worth, TX",7
10850,NK,EWR,"Newark, NJ",MIA,"Miami, FL",5
10899,YX,CLT,"Charlotte, NC",PIT,"Pittsburgh, PA",2
10920,YV,AUS,"Austin, TX",IAH,"Houston, TX",1
10930,UA,DEN,"Denver, CO",MIA,"Miami, FL",7
10938,NK,TPA,"Tampa, FL",LGA,"New York, NY",5
10942,NK,EWR,"Newark, NJ",RSW,"Fort Myers, FL",5
11025,F9,DFW,"Dallas/Fort Worth, TX",MCO,"Orlando, FL",4
11065,DL,EWR,"Newark, NJ",MSP,"Minneapolis, MN",5
11073,OO,IAH,"Houston, TX",LAX,"Los Angeles, CA",6
11078,UA,DSM,"Des Moines, IA",DEN,"Denver, CO",3
11081,UA,ORD,"Chicago, IL",CVG,"Cincinnati, OH",2
11103,OO,DEN,"Denver, CO",DSM,"Des Moines, IA",3
11104,UA,LAX,"Los Angeles, CA",AUS,"Austin, TX",5
11130,AA,ATL,"Atlanta, GA",PHL,"Philadelphia, PA",3
11157,B6,DEN,"Denver, CO",BOS,"Boston, MA",8
11160,AA,DCA,"Washington, DC",MSY,"New Orleans, LA",4
11198,YX,CLT,"Charlotte, NC",BNA,"Nashville, TN",2
11201,B6,FLL,"Fort Lauderdale, FL",SJU,"San Juan, PR",5
11236,OO,ORD,"Chicago, IL",CMH,"Columbus, OH",2
11290,DL,MCO,"Orlando, FL",LAX,"Los Angeles, CA",9
11322,OO,DSM,"Des Moines, IA",ORD,"Chicago, IL",2
11349,AS,BOS,"Boston, MA",SFO,"San Francisco, CA",11
11354,WN,DEN,"Denver, CO",MIA,"Miami, FL",7
11411,AA,SLC,"Salt Lake City, UT",PHX,"Phoenix, AZ",3
11451,F9,MCO,"Orlando, FL",BNA,"Nashville, TN",3
11480,YV,MSY,"New Orleans, LA",IAH,"Houston, TX",2
11535,B6,SAN,"San Diego, CA",JFK,"New York, NY",10
11551,MQ,ORD,"Chicago, IL",SLC,"Salt Lake City, UT",6
11577,NK,PHX,"Phoenix, AZ",DTW,"Detroit, MI",7
11588,OO,PHX,"Phoenix, AZ",SAT,"San Antonio, TX",4
11628,AA,JFK,"New York, NY",LAS,"Las Vegas, NV",9
11629,B6,TPA,"Tampa, FL",EWR,"Newark, NJ",4
11666,B6,SJU,"San Juan, PR",EWR,"Newark, NJ",7
11684,OH,STL,"St. Louis, MO",CLT,"Charlotte, NC",3
11694,F9,ATL,"Atlanta, GA",EWR,"Newark, NJ",3
11731,WN,PDX,"Portland, OR",LAS,"Las Vegas, NV",4
11743,DL,BOS,"Boston, MA",FLL,"Fort Lauderdale, FL",5
11765,OO,IAH,"Houston, TX",ATL,"Atlanta, GA",3
11771,OH,DCA,"Washington, DC",RDU,"Raleigh/Durham, NC",1
11782,B6,LAS,"Las Vegas, NV",EWR,"Newark, NJ",9
11844,WN,PHL,"Philadelphia, PA",BNA,"Nashville, TN",3
11852,MQ,MIA,"Miami, FL",IAH,"Houston, TX",4
11860,WN,DTW,"Detroit, MI",MDW,"Chicago, IL",1
11881,QX,SJC,"San Jose, CA",LAX,"Los Angeles, CA",2
11895,OO,ATL,"Atlanta, GA",DEN,"Denver, CO",5
11901,WN,ORD,"Chicago, IL",LAS,"Las Vegas, NV",7
11955,YV,ORD,"Chicago, IL",OMA,"Omaha, NE",2
12033,AS,LAX,"Los Angeles, CA",AUS,"Austin, TX",5
12050,DL,SEA,"Seattle, WA",BOS,"Boston, MA",10
12060,OO,ORD,"Chicago, IL",CLE,"Cleveland, OH",2
12100,B6,LAX,"Los Angeles, CA",AUS,"Austin, TX",5
12120,MQ,MFE,"Mission/McAllen/Edinburg, TX",DFW,"Dallas/Fort Worth, TX",2
12129,OO,IAH,"Houston, TX",MSP,"Minneapolis, MN",5
12133,UA,EWR,"Newark, NJ",MSP,"Minneapolis, MN",5
12140,NK,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",5
12178,OH,CAE,"Columbia, SC",CLT,"Charlotte, NC",1
12290,NK,SNA,"Santa Ana, CA",OAK,"Oakland, CA",2
12299,NK,TPA,"Tampa, FL",ATL,"Atlanta, GA",2
12306,F9,MCO,"Orlando, FL",LGA,"New York, NY",4
12315,F9,DEN,"Denver, CO",ABQ,"Albuquerque, NM",2
12408,UA,IAH,"Houston, TX",CLT,"Charlotte, NC",4
12412,PT,DTW,"Detroit, MI",PHL,"Philadelphia, PA",2
12440,YV,DSM,"Des Moines, IA",ORD,"Chicago, IL",2
12477,MQ,BWI,"Baltimore, MD",ORD,"Chicago, IL",3
12537,UA,CLT,"Charlotte, NC",IAH,"Houston, TX",4
12540,OO,IAH,"Houston, TX",PHX,"Phoenix, AZ",5
12548,9E,LGA,"New York, NY",CMH,"Columbus, OH",2
12576,HA,HNL,"Honolulu, HI",SFO,"San Francisco, CA",10
12583,AA,BNA,"Nashville, TN",DCA,"Washington, DC",3
12693,YX,IAD,"Washington, DC",CLT,"Charlotte, NC",2
12737,NK,MSP,"Minneapolis, MN",PHX,"Phoenix, AZ",6
12744,DL,IAH,"Houston, TX",MSP,"Minneapolis, MN",5
12769,B6,PHX,"Phoenix, AZ",JFK,"New York, NY",9
12778,ZW,ORD,"Chicago, IL",BUF,"Buffalo, NY",2
12800,NK,ATL,"Atlanta, GA",MSP,"Minneapolis, MN",4
12855,F9,ATL,"Atlanta, GA",DFW,"Dallas/Fort Worth, TX",3
12863,UA,COS,"Colorado Springs, CO",DEN,"Denver, CO",1
12934,YX,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1
12952,NK,LGA,"New York, NY",DFW,"Dallas/Fort Worth, TX",6
13048,MQ,CVG,"Cincinnati, OH",ORD,"Chicago, IL",2
13102,YX,ORD,"Chicago, IL",OMA,"Omaha, NE",2
13126,UA,JFK,"New York, NY",LAX,"Los Angeles, CA",10
13156,WN,PNS,"Pensacola, FL",ATL,"Atlanta, GA",2
13212,G4,LAS,"Las Vegas, NV",SNA,"Santa Ana, CA",1
13213,F9,ATL,"Atlanta, GA",MIA,"Miami, FL",3
13221,F9,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",2
13277,OO,AUS,"Austin, TX",LAX,"Los Angeles, CA",5
13284,WN,DTW,"Detroit, MI",MCO,"Orlando, FL",4
13309,F9,PHL,"Philadelphia, PA",DEN,"Denver, CO",7
13359,WN,RDU,"Raleigh/Durham, NC",MCO,"Orlando, FL",3
13379,YX,IND,"Indianapolis, IN",ORD,"Chicago, IL",1
13384,ZW,IAD,"Washington, DC",DTW,"Detroit, MI",2
13424,UA,ONT,"Ontario, CA",DEN,"Denver, CO",4
13481,DL,JFK,"New York, NY",PBI,"West Palm Beach/Palm Beach, FL",5
13494,UA,DTW,"Detroit, MI",ORD,"Chicago, IL",1
13557,NK,MSY,"New Orleans, LA",DFW,"Dallas/Fort Worth, TX",2
13571,AS,EWR,"Newark, NJ",LAX,"Los Angeles, CA",10
13580,NK,LAX,"Los Angeles, CA",OAK,"Oakland, CA",2
13630,MQ,ORD,"Chicago, IL",STL,"St. Louis, MO",2
13672,DL,PBI,"West Palm Beach/Palm Beach, FL",JFK,"New York, NY",5
13697,MQ,ORD,"Chicago, IL",RIC,"Richmond, VA",3
13715,9E,ATL,"Atlanta, GA",TYS,"Knoxville, TN",1
13723,YX,LGA,"New York, NY",MSP,"Minneapolis, MN",5
13754,OO,ORD,"Chicago, IL",IND,"Indianapolis, IN",1
13763,YX,ORD,"Chicago, IL",IAH,"Houston, TX",4
13766,ZW,LGA,"New York, NY",ORD,"Chicago, IL",3
13770,NK,DFW,"Dallas/Fort Worth, TX",MSY,"New Orleans, LA",2
13790,YV,ELP,"El Paso, TX",DFW,"Dallas/Fort Worth, TX",3
13802,OO,IND,"Indianapolis, IN",ORD,"Chicago, IL",1
13806,OH,BWI,"Baltimore, MD",CLT,"Charlotte, NC",2
13853,YV,IAH,"Houston, TX",MSY,"New Orleans, LA",2
13859,YX,IAD,"Washington, DC",EWR,"Newark, NJ",1
13930,AS,JFK,"New York, NY",SAN,"San Diego, CA",10
13934,YX,ORD,"Chicago, IL",LGA,"New York, NY",3
13947,NK,MCO,"Orlando, FL",LGA,"New York, NY",4
13969,G7,ORD,"Chicago, IL",CVG,"Cincinnati, OH",2
13978,OO,PIT,"Pittsburgh, PA",ORD,"Chicago, IL",2
14055,NK,ORD,"Chicago, IL",TPA,"Tampa, FL",5
14060,ZW,IND,"Indianapolis, IN",ORD,"Chicago, IL",1
